City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
167,Pleshanovo,RU,52.8333,53.4833,75.22,38,4,9.06,clear sky
168,Clyde River,CA,70.4692,-68.5914,50.23,71,90,11.5,overcast clouds
169,Amahai,ID,-3.3333,128.9167,79.0,88,98,3.89,moderate rain
170,Bairiki,KI,1.3292,172.9752,84.2,74,20,11.5,light rain
171,Beipiao,CN,41.7919,120.7792,80.38,78,100,15.82,overcast clouds
172,San Patricio,US,28.017,-97.5169,82.85,85,14,6.6,few clouds
173,Bengkulu,ID,-3.8004,102.2655,82.04,58,100,2.08,overcast clouds
174,Kiunga,PG,-6.1219,141.2906,83.16,82,70,4.12,broken clouds
175,Sawtell,AU,-30.3833,153.1,62.92,77,100,8.05,overcast clouds
176,Eskisehir,TR,39.7767,30.5206,76.91,41,0,3.44,clear sky
177,Bichura,RU,50.5881,107.6022,61.54,92,100,4.65,overcast clouds
178,Rawson,AR,-43.3002,-65.1023,45.66,51,100,13.51,overcast clouds
179,Coolum Beach,AU,-26.5333,153.1,69.12,73,48,11.9,scattered clouds
180,Taoudenni,ML,22.6783,-3.9836,97.7,7,0,11.01,clear sky
181,Souillac,MU,-20.5167,57.5167,74.35,73,40,19.57,scattered clouds
182,Mathbaria,BD,22.2876,89.9593,90.81,59,56,13.33,broken clouds
183,Lagoa,PT,39.05,-27.9833,68.76,79,35,15.46,scattered clouds
184,Husavik,IS,66.0449,-17.3389,53.51,69,100,1.63,overcast clouds
185,Mendoza,AR,-32.8908,-68.8272,44.13,61,0,5.75,clear sky
186,Katsuura,JP,35.1333,140.3,84.24,80,100,6.02,overcast clouds
187,Saint-Augustin,CA,51.226,-58.6502,55.71,66,11,8.1,few clouds
188,Mahebourg,MU,-20.4081,57.7,74.25,73,40,19.57,light rain
189,Zhicheng,CN,30.2956,111.5047,99.99,51,0,13.73,light rain
190,Urgut,UZ,39.4022,67.2431,89.22,15,60,10.87,broken clouds
191,Shingu,JP,33.7333,135.9833,83.91,75,62,1.68,broken clouds
192,Avanigadda,IN,16.0215,80.9181,86.14,75,100,9.33,overcast clouds
193,Centralia,US,46.7162,-122.9543,62.06,80,1,4.61,clear sky
194,Tilichiki,RU,60.4667,166.1,63.21,67,55,10.63,broken clouds
195,Arman,RU,59.7,150.1667,57.96,94,100,10.16,moderate rain
196,Faanui,PF,-16.4833,-151.75,80.55,74,6,19.13,light rain
197,Samarai,PG,-10.6167,150.6667,79.86,86,48,15.39,scattered clouds
198,Khandyga,RU,62.6667,135.6,81.21,28,0,6.53,clear sky
199,Hambantota,LK,6.1241,81.1185,91.74,52,20,19.57,few clouds
200,Cherskiy,RU,68.75,161.3,48.61,74,100,5.5,overcast clouds
201,Vao,NC,-22.6667,167.4833,68.14,57,1,17.05,clear sky
202,Vardo,NO,70.3705,31.1107,53.8,93,75,20.71,moderate rain
203,Mogadishu,SO,2.0371,45.3438,80.47,65,75,14.97,broken clouds
204,Goderich,CA,43.7501,-81.7165,68.32,94,5,5.75,clear sky
205,Bell Ville,AR,-32.6259,-62.6887,53.31,59,100,7.11,overcast clouds
206,Guerrero Negro,MX,27.9769,-114.0611,69.37,79,0,8.7,clear sky
207,Kupang,ID,-10.1667,123.5833,86.58,51,20,16.11,few clouds
208,Sao Filipe,CV,14.8961,-24.4956,73.26,89,99,7.83,overcast clouds
209,Chokurdakh,RU,70.6333,147.9167,59.05,43,44,7.45,scattered clouds
210,Maumere,ID,-8.6199,122.2111,82.02,60,12,12.28,few clouds
211,Roebourne,AU,-20.7833,117.1333,79.36,48,100,13.73,overcast clouds
212,Santiago Del Estero,AR,-27.7951,-64.2615,57.81,73,100,9.53,overcast clouds
213,Grindavik,IS,63.8424,-22.4338,50.56,93,75,16.11,broken clouds
214,Portree,GB,57.4129,-6.1942,57.85,89,97,6.46,overcast clouds
215,Ancud,CL,-41.8697,-73.8203,46.22,84,100,10.54,light rain
216,Khatanga,RU,71.9667,102.5,41.36,82,100,17.65,overcast clouds
217,Bombay,IN,19.0144,72.8479,84.18,84,75,9.22,haze
218,Ahipara,NZ,-35.1667,173.1667,49.48,72,6,4.9,clear sky
219,Rayagada,IN,19.1667,83.4167,85.8,72,99,7.09,light rain
220,Golden,US,39.7555,-105.2211,72.09,51,1,0.0,clear sky
221,Coihaique,CL,-45.5752,-72.0662,38.39,99,100,3.56,light rain
222,Hamilton,US,39.1834,-84.5333,71.24,95,75,7.0,broken clouds
223,Haikou,CN,20.0458,110.3417,82.53,83,40,11.18,thunderstorm with light rain
224,Hofn,IS,64.2539,-15.2082,52.12,80,100,8.95,overcast clouds
225,Uniontown,US,39.9001,-79.7164,73.42,53,0,8.72,clear sky
226,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,72.19,64,75,13.42,broken clouds
227,Kasongo-Lunda,CD,-6.4667,16.8167,71.74,30,29,0.11,scattered clouds
228,Adrar,MR,20.5022,-10.0711,88.56,22,6,11.95,clear sky
229,Pahrump,US,36.2083,-115.9839,92.52,31,2,8.01,clear sky
230,Sakaiminato,JP,35.55,133.2333,87.78,66,40,12.66,scattered clouds
231,Olafsvik,IS,64.8945,-23.7142,48.96,90,100,16.33,overcast clouds
