City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
457,Jiwani,PK,89.35,overcast clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
459,Heihe,CN,81.18,overcast clouds,50.2441,127.4902,Hotel Strannik
463,Lindi,TZ,85.35,overcast clouds,-10.0,39.7167,Lindi paradise house
470,Krasnoarmeyskoye,RU,80.33,clear sky,52.7182,50.0322,
481,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
484,Rudsar,IR,85.98,few clouds,37.1376,50.288,Hotel Bahar
485,Balaipungut,ID,82.81,overcast clouds,1.05,101.2833,
488,Palaikastron,GR,82.35,clear sky,35.2,26.25,Marina Village
493,Sembakung,ID,84.13,overcast clouds,3.8167,117.25,
495,Denpasar,ID,83.86,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
497,Dharchula,IN,84.09,broken clouds,29.85,80.5333,Mahara Hotel
498,Teguldet,RU,85.26,broken clouds,57.3064,88.1667,
499,Barkot,IN,82.58,scattered clouds,30.8167,78.2,Camp Nirvana Yamunotri
501,Kudahuvadhoo,MV,81.73,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
502,Muyezerskiy,RU,82.83,clear sky,63.9333,31.65,"Gostinitsa Ooo ""Lzkh ""Ledmozerskoye"""
506,Gondanglegi,ID,84.51,overcast clouds,-7.7479,112.0132,Gg. Munasir Homestay
525,Tailai,CN,80.83,light rain,46.3833,123.4,Pearl Garden Hotel
528,Hamamatsu,JP,83.01,overcast clouds,34.7,137.7333,Hotel Crown Palais Hamamatsu
530,Maningrida,AU,81.28,scattered clouds,-12.0667,134.2667,Dhukurrdji Lodge
534,Brownsville,US,81.91,overcast clouds,25.9018,-97.4975,University Inn & Suites
539,Semporna,MY,88.0,light rain,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
545,Mae Sot,TH,87.75,scattered clouds,16.7167,98.5667,Suan Darb Porn Resort (บ้านสวนดาบพรรีสอร์ท)
553,Marawi,PH,80.65,overcast clouds,7.9986,124.2928,Derogongan Residence
554,Jinxiang,CN,85.23,overcast clouds,27.4327,120.6062,Wolong Village
556,San Policarpo,PH,84.42,overcast clouds,12.1791,125.5072,JM Lodge
557,Finschhafen,PG,80.11,light rain,-6.6024,147.8681,Cossam Guest House
558,Borogontsy,RU,82.92,clear sky,62.6683,131.1683,
566,Manokwari,ID,81.46,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
568,Mattawa,US,85.1,clear sky,46.7379,-119.9028,Sun & Sand Mobile Home Park
569,Sabang,ID,83.14,overcast clouds,5.8933,95.3214,Hotel Citra
570,Hovd,MN,80.91,scattered clouds,48.0056,91.6419,Hotel Khovd
572,Changji,CN,81.39,clear sky,44.0167,87.3167,Lvye Holiday Resort
576,Guiyang,CN,88.29,broken clouds,26.5833,106.7167,Guo Tai Hotel Guiyang
583,Kaitong,CN,84.29,broken clouds,44.8135,123.15,Jinhe Fashion Hotel
584,Balilihan,PH,84.88,very heavy rain,9.7561,123.973,Blue House，bohol
585,Ouesso,CG,82.51,broken clouds,1.6136,16.0517,ABENIE Hotel
588,Matalom,PH,83.5,overcast clouds,10.2831,124.7878,Holy Child Pension House
594,Mogok,MM,81.64,broken clouds,22.9167,96.5,MOGOK HILL HOTEL
600,Tuy Hoa,VN,88.41,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
604,Tarakan,ID,83.7,light rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
609,Vitim,RU,88.93,overcast clouds,59.4511,112.5578,Gostinitsa V Apteke
610,Vilyuysk,RU,81.48,scattered clouds,63.7553,121.6247,Gostinitsa Viliuisk
611,Thai Binh,VN,89.6,broken clouds,20.45,106.3333,Sweden Hotel
613,Ilebo,CD,85.95,clear sky,-4.3167,20.5833,Hôtel BUMAK
623,Kisangani,CD,87.12,few clouds,0.5167,25.2,Grand Ramela Hotel
624,Mayahi,NE,85.62,few clouds,13.9553,7.6712,
625,Bazarnyy Karabulak,RU,84.52,scattered clouds,52.2683,46.4144,Парк-Отель Белые Ивы
628,Beyneu,KZ,87.98,clear sky,45.3167,55.2,NUR
635,Guangyuan,CN,83.52,light rain,32.442,105.823,Guangyuan Poetry Hotel
638,Kavaratti,IN,82.49,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
639,Muli,MV,82.17,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
649,Riverton,US,83.68,clear sky,40.5219,-111.9391,Ramada by Wyndham Draper
651,Kumylzhenskaya,RU,86.52,clear sky,49.8809,42.5898,"Gostinitsa ""Sosnovyy Dvor"""
653,Bodden Town,KY,83.93,overcast clouds,19.2833,-81.25,Will T Place
655,Kota Belud,MY,87.66,light rain,6.351,116.4305,Tang Dynasty Lodge Kota Belud
