City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
99,Sept-Iles,CA,2021-07-14 05:54:14,50.2001,-66.3821,55.06,82,1,1.01
100,La Palma,US,2021-07-14 05:56:01,33.8464,-118.0467,80.42,85,90,5.01
101,Barrow,US,2021-07-14 05:56:01,71.2906,-156.7887,36.19,80,59,7.34
102,Pitimbu,BR,2021-07-14 05:56:02,-7.4706,-34.8086,73.99,82,20,10.89
103,Payson,US,2021-07-14 05:52:32,40.0444,-111.7321,82.15,38,1,14.97
104,Pimenta Bueno,BR,2021-07-14 05:56:02,-11.6725,-61.1936,68.0,59,1,2.68
105,Yoichi,JP,2021-07-14 05:56:03,43.2039,140.7703,82.44,73,1,6.38
106,Acapulco,MX,2021-07-14 05:56:03,16.8634,-99.8901,80.35,86,100,4.34
107,Vetlanda,SE,2021-07-14 05:56:04,57.4289,15.0776,71.47,73,72,6.42
108,Aleppo,SY,2021-07-14 05:56:04,36.25,37.5,87.1,40,0,18.32
109,Zhezkazgan,KZ,2021-07-14 05:56:05,47.8043,67.7144,66.4,35,12,18.28
110,Taksimo,RU,2021-07-14 05:56:05,56.3444,114.8794,81.68,34,62,8.23
111,Balkanabat,TM,2021-07-14 05:56:06,39.5108,54.3671,91.71,36,3,13.62
112,Cayenne,GF,2021-07-14 05:56:06,4.9333,-52.3333,76.08,91,90,2.3
113,Hobart,AU,2021-07-14 05:56:07,-42.8794,147.3294,54.01,90,75,4.61
114,Kismayo,SO,2021-07-14 05:56:07,-0.3582,42.5454,79.54,69,41,18.97
115,Wana,PK,2021-07-14 05:56:07,32.2989,69.5725,81.03,61,23,8.19
116,Mahebourg,MU,2021-07-14 05:56:08,-20.4081,57.7,74.25,73,20,16.11
117,Port Elizabeth,ZA,2021-07-14 05:56:08,-33.918,25.5701,44.89,76,20,9.22
118,Severo-Kurilsk,RU,2021-07-14 05:56:09,50.6789,156.125,58.12,91,100,7.63
119,Fukue,JP,2021-07-14 05:56:09,32.6881,128.8419,82.76,94,75,12.66
120,Dinguiraye,GN,2021-07-14 05:56:09,11.3,-10.7167,68.59,96,61,2.35
121,Yatou,CN,2021-07-14 05:56:10,37.15,122.3833,82.22,81,90,17.49
122,Anyksciai,LT,2021-07-14 05:56:10,55.5256,25.1026,74.61,79,21,8.1
123,Cherskiy,RU,2021-07-14 05:56:11,68.75,161.3,47.75,77,100,6.73
124,Mount Gambier,AU,2021-07-14 05:56:11,-37.8333,140.7667,55.31,94,90,13.8
125,Nikolskoye,RU,2021-07-14 05:56:11,59.7035,30.7861,81.81,69,99,1.57
126,Havre-Saint-Pierre,CA,2021-07-14 05:56:12,50.2334,-63.5986,48.56,87,1,0.0
127,Saint-Joseph,RE,2021-07-14 05:56:12,-21.3667,55.6167,73.78,57,9,8.9
128,Jacqueville,CI,2021-07-14 05:56:13,5.2052,-4.4146,78.71,84,99,10.92
129,Bonavista,CA,2021-07-14 05:56:13,48.6499,-53.1147,53.6,81,63,9.98
130,Verkhnyaya Tura,RU,2021-07-14 05:56:14,58.3594,59.8175,60.58,40,0,6.44
131,Kande,TG,2021-07-14 05:56:14,9.9578,1.0447,71.24,92,100,4.92
132,Khorramshahr,IR,2021-07-14 05:56:15,30.4397,48.1664,100.36,19,0,11.5
133,Pergamino,AR,2021-07-14 05:56:15,-33.89,-60.5736,47.25,63,100,6.15
134,Tasiilaq,GL,2021-07-14 05:56:15,65.6145,-37.6368,38.71,96,98,5.19
135,Anakapalle,IN,2021-07-14 05:56:16,17.6833,83.0167,84.15,85,80,3.33
136,Tarakan,ID,2021-07-14 05:56:16,3.3,117.6333,85.5,74,40,4.61
137,Dhidhdhoo,MV,2021-07-14 05:56:17,6.8833,73.1,82.53,79,67,13.44
138,Olovyannaya,RU,2021-07-14 05:56:17,50.95,115.5667,73.69,70,100,10.67
139,New Norfolk,AU,2021-07-14 05:56:17,-42.7826,147.0587,53.65,87,99,1.1
140,Torbay,CA,2021-07-14 05:56:18,47.6666,-52.7314,50.68,90,40,11.5
141,Airai,TL,2021-07-14 05:56:18,-8.9266,125.4092,72.1,54,93,4.34
142,Niksar,TR,2021-07-14 05:56:19,40.5917,36.9517,75.63,58,0,5.01
143,Yinchuan,CN,2021-07-14 05:56:19,38.4681,106.2731,102.85,14,85,6.71
144,Hualmay,PE,2021-07-14 05:56:20,-11.0964,-77.6139,62.83,85,41,11.32
145,Sabha,LY,2021-07-14 05:56:20,27.0377,14.4283,83.97,30,0,9.6
146,Castro,BR,2021-07-14 05:56:21,-24.7911,-50.0119,52.79,68,97,2.82
147,Oranjemund,NA,2021-07-14 05:56:21,-28.55,16.4333,49.62,46,0,8.28
148,Galle,LK,2021-07-14 05:56:22,6.0367,80.217,82.35,79,100,15.59
149,Muros,ES,2021-07-14 05:56:22,42.7762,-9.0603,62.83,80,18,10.18
150,Leningradskiy,RU,2021-07-14 05:56:22,69.3833,178.4167,42.33,88,57,14.85
151,San Clemente,US,2021-07-14 05:56:23,33.427,-117.612,78.55,88,28,4.0
152,Upanema,BR,2021-07-14 05:56:23,-5.6419,-37.2578,72.27,76,83,6.96
153,Vostok,RU,2021-07-14 05:56:24,46.4856,135.8833,84.45,53,89,4.52
154,Georgetown,MY,2021-07-14 05:56:24,5.4112,100.3354,85.95,58,40,2.3
155,Cockburn Town,TC,2021-07-14 05:56:24,21.4612,-71.1419,80.26,80,2,15.84
156,Shizuishan,CN,2021-07-14 05:56:25,39.2333,106.7694,103.08,13,89,8.61
157,Aldan,RU,2021-07-14 05:56:25,58.6031,125.3894,72.57,46,0,5.7
158,Mount Pleasant,US,2021-07-14 05:56:26,32.7941,-79.8626,80.01,93,1,1.01
159,Cabo San Lucas,MX,2021-07-14 05:56:26,22.8909,-109.9124,82.06,68,65,5.99
160,Conselheiro Pena,BR,2021-07-14 05:56:26,-19.1722,-41.4722,64.87,94,5,3.09
161,Komsomolskiy,UZ,2021-07-14 05:56:27,40.4272,71.7189,86.72,32,25,4.61
162,Choma,ZM,2021-07-14 05:56:27,-16.8065,26.9531,60.26,34,38,8.21
163,Waingapu,ID,2021-07-14 05:56:28,-9.6567,120.2641,85.69,48,9,17.76
164,Chapais,CA,2021-07-14 05:56:28,49.7834,-74.8492,64.18,95,97,7.96
165,Mihijam,IN,2021-07-14 05:56:29,23.8526,86.8788,88.74,60,94,10.11
166,Korla,CN,2021-07-14 05:56:29,41.7597,86.1469,84.6,33,100,11.65
167,Severo-Yeniseyskiy,RU,2021-07-14 05:56:30,60.3725,93.0408,73.98,33,94,6.44
168,Biak,ID,2021-07-14 05:56:30,-0.9131,122.8766,74.84,88,100,8.57
169,Salym,RU,2021-07-14 05:56:31,60.0625,71.4789,46.56,80,100,13.94
170,Ahuimanu,US,2021-07-14 05:56:31,21.4447,-157.8378,79.75,70,40,11.5
171,Hasaki,JP,2021-07-14 05:56:32,35.7333,140.8333,86.29,83,94,7.87
172,Lac Du Bonnet,CA,2021-07-14 05:56:32,50.2536,-96.0612,58.59,53,63,4.63
173,Bathsheba,BB,2021-07-14 05:56:33,13.2167,-59.5167,79.41,83,40,16.11
174,Adrar,MR,2021-07-14 05:56:33,20.5022,-10.0711,87.19,29,18,12.84
175,Chibuto,MZ,2021-07-14 05:56:33,-24.6867,33.5306,65.53,59,99,12.82
176,Port Moresby,PG,2021-07-14 05:55:17,-9.4431,147.1797,85.42,74,40,13.8
177,Guerrero Negro,MX,2021-07-14 05:56:34,27.9769,-114.0611,69.24,81,25,10.78
178,Hambantota,LK,2021-07-14 05:56:35,6.1241,81.1185,89.94,62,20,19.57
179,Longyearbyen,SJ,2021-07-14 05:56:35,78.2186,15.6401,39.04,87,75,8.05
180,Tutoia,BR,2021-07-14 05:56:36,-2.7619,-42.2744,76.98,84,91,10.76
181,Idaho Falls,US,2021-07-14 05:56:36,43.4666,-112.0341,69.01,54,0,4.0
182,Bundibugyo,UG,2021-07-14 05:56:36,0.7414,30.0417,72.28,74,91,1.21
183,Jamestown,US,2021-07-14 05:51:49,42.097,-79.2353,70.92,91,90,5.99
184,Andenes,NO,2021-07-14 05:56:37,69.3143,16.1194,59.07,87,90,11.5
185,Tchibanga,GA,2021-07-14 05:56:37,-2.85,11.0333,65.21,93,18,1.14
186,Athabasca,CA,2021-07-14 05:56:38,54.7169,-113.2854,71.29,65,52,8.55
187,Honiara,SB,2021-07-14 05:56:38,-9.4333,159.95,84.18,76,74,10.63
188,Pinawa,CA,2021-07-14 05:56:39,50.1489,-95.8811,59.32,58,50,3.91
189,Jalu,LY,2021-07-14 05:56:39,29.0331,21.5482,85.12,30,0,6.42
190,Kavieng,PG,2021-07-14 05:56:40,-2.5744,150.7967,84.78,71,27,15.95
191,Sanford,US,2021-07-14 05:56:40,28.8006,-81.2731,80.91,87,65,3.0
192,Latung,PH,2021-07-14 05:56:41,5.5,120.8833,84.06,70,80,5.06
193,Vagur,FO,2021-07-14 05:56:41,61.4732,-6.8119,51.28,96,92,14.65
194,At-Bashi,KG,2021-07-14 05:56:42,41.1702,75.8106,69.15,34,32,5.3
195,Washington,US,2021-07-14 05:53:00,47.5001,-120.5015,79.29,51,0,6.6
196,Aklavik,CA,2021-07-14 05:56:42,68.2191,-135.0107,47.23,89,100,11.56
197,Mackay,AU,2021-07-14 05:56:43,-21.15,149.2,73.04,88,40,6.91
198,Richards Bay,ZA,2021-07-14 05:56:43,-28.783,32.0377,56.88,44,34,11.72
199,Torit,SS,2021-07-14 05:56:44,4.4133,32.5678,69.42,93,100,3.29
200,Mount Isa,AU,2021-07-14 05:56:44,-20.7333,139.5,85.77,19,3,16.11
201,Kirkenaer,NO,2021-07-14 05:56:45,60.4564,12.0582,67.48,90,100,3.13
202,Katangli,RU,2021-07-14 05:56:45,51.7102,143.2326,76.39,70,97,16.08
203,Leninsk,RU,2021-07-14 05:56:46,48.7119,45.1994,84.06,28,0,7.99
204,Tual,ID,2021-07-14 05:56:46,-5.6667,132.75,81.37,80,90,15.3
205,Carnarvon,AU,2021-07-14 05:56:47,-24.8667,113.6333,69.87,57,86,10.36
206,Dundwaraganj,IN,2021-07-14 05:56:47,27.7333,78.95,100.94,35,85,9.57
207,Takoradi,GH,2021-07-14 05:56:48,4.8845,-1.7554,76.44,84,100,8.23
208,Havelock,US,2021-07-14 05:54:40,34.8791,-76.9013,80.94,91,63,6.44
209,Beasain,ES,2021-07-14 05:56:49,43.0502,-2.2009,62.35,86,100,3.47
210,Barcelos,PT,2021-07-14 05:56:49,41.5388,-8.6151,64.92,85,12,4.25
211,Hamilton,US,2021-07-14 05:56:50,39.1834,-84.5333,71.64,95,12,1.01
212,Codrington,AU,2021-07-14 05:56:50,-38.2667,141.9667,58.23,79,91,13.65
213,Thompson,CA,2021-07-14 05:56:51,55.7435,-97.8558,51.96,71,40,0.0
214,Qaqortoq,GL,2021-07-14 05:56:51,60.7167,-46.0333,44.71,82,92,4.72
215,Nadym,RU,2021-07-14 05:56:51,65.5333,72.5167,54.66,44,23,9.55
216,Verkhovazhye,RU,2021-07-14 05:56:52,60.7472,42.0465,79.88,50,91,1.95
217,Beeville,US,2021-07-14 05:56:52,28.4008,-97.7483,80.15,100,1,4.61
218,Portland,US,2021-07-14 05:55:48,45.5234,-122.6762,69.57,63,0,1.01
219,Saldanha,ZA,2021-07-14 05:56:53,-33.0117,17.9442,37.45,74,27,6.24
220,Walvis Bay,NA,2021-07-14 05:56:53,-22.9575,14.5053,50.95,43,0,4.61
221,Meadow Lake,US,2021-07-14 05:56:53,34.8014,-106.5436,77.45,45,100,5.3
222,Presidencia Roque Saenz Pena,AR,2021-07-14 05:56:54,-26.7852,-60.4388,67.98,59,99,6.22
223,Kodiak,US,2021-07-14 05:54:30,57.79,-152.4072,50.95,89,83,5.84
224,Lucapa,AO,2021-07-14 05:56:54,-8.4192,20.7447,63.95,35,20,2.59
225,Maragogi,BR,2021-07-14 05:56:55,-9.0122,-35.2225,73.09,89,23,4.21
226,Sinnamary,GF,2021-07-14 05:56:55,5.3833,-52.95,76.51,90,25,6.93
227,Dobre Miasto,PL,2021-07-14 05:56:55,53.9867,20.3975,70.48,83,2,5.46
228,Launceston,AU,2021-07-14 05:56:56,-41.45,147.1667,51.62,94,90,6.91
